,logFC,logCPM,PValue,QValue
ENSGALG00010028432,0.644298567321737,3.81431478293399,0.0250120903510951,0.344938993434046
ENSGALG00010021843,0.536764631962492,5.74554338848479,0.0249939628068837,0.344938993434046
ENSGALG00010018758,1.04792953182338,4.20988346558622,0.0250817660351425,0.345542179028095
ENSGALG00010009676,0.592350038684499,7.58011556285149,0.0251389961895345,0.345900023489143
ENSGALG00010021841,0.657607381840845,3.59446450110057,0.025159669926511,0.345900023489143
ENSGALG00010000434,0.527130732337891,5.68833765170607,0.0252741609952278,0.346045604088822
ENSGALG00010026220,0.593910963422397,6.00842674410576,0.0254231791003151,0.346582929454432
ENSGALG00010012120,1.11718426965907,3.73630712374117,0.0254695006707618,0.346582929454432
ENSGALG00010005143,0.521641275042942,4.93570588750244,0.0256741912763499,0.347946669566158
ENSGALG00010008330,0.589102196921266,4.05249661433619,0.0257332184971016,0.348392212213808
ENSGALG00010005573,0.707040098744573,3.41619358898357,0.0258132840108928,0.349121390449861
ENSGALG00010003159,0.585372875432639,7.12627262542003,0.0261056421855874,0.351193271755747
ENSGALG00010025734,0.527245396130009,4.97714712088696,0.0262169363722909,0.351797742804037
ENSGALG00010018618,0.710609704674111,3.73441261848157,0.0262955149241021,0.352069195797877
ENSGALG00010010444,0.52368841170729,5.14773761929856,0.026345253526915,0.352380991451367
ENSGALG00010015386,0.695907051765086,4.58200254609427,0.0264105265385047,0.352899733747201
ENSGALG00010011458,0.626624697225642,4.48044157848753,0.0265096923475755,0.353869861176754
ENSGALG00010010168,2.67855552414514,-0.596027392350453,0.0266504063645778,0.354682031557349
ENSGALG00010008149,0.630739114187115,6.26524802457472,0.0267378855745359,0.355491129365237
ENSGALG00010014903,0.736441314369382,4.91770688668812,0.0267830859067258,0.355737059271586
ENSGALG00010004338,0.64524515410815,5.37508113236867,0.0269386429729592,0.356381928188443
ENSGALG00010016869,0.566495935579768,10.2045889893796,0.0269951547121392,0.356775249082458
ENSGALG00010012303,2.2297079748312,-1.45769564250338,0.0270839661850686,0.357594249274018
ENSGALG00010009444,0.781715695602646,4.47297872842249,0.0277179202141869,0.363443044383265
