,gene_ids,n_cells,MT,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
CRB2,ENSGALG00010028326,51,False,51,0.0027044623,99.74457855461512,54.0
DENND1A,ENSGALG00010028346,868,False,868,0.049131066,95.65282716482196,981.0
RBM18,ENSGALG00010028355,724,False,724,0.041518506,96.37401712826164,829.0
MRRF,ENSGALG00010028366,388,False,388,0.021735864,98.05679370962088,434.0
PTGS1,ENSGALG00010028372,508,False,508,0.027845945,97.45580207342115,556.0
PDCL,ENSGALG00010028377,829,False,829,0.045875695,95.84814944658687,916.0
ZBTB26,ENSGALG00010028394,2446,False,2446,0.15290229,87.7497871487955,3053.0
RXRA,ENSGALG00010028422,371,False,371,0.020433716,98.14193419141584,408.0
ENSGALG00010028426,ENSGALG00010028426,152,False,152,0.00816347,99.23874392748034,163.0
RABGAP1,ENSGALG00010028428,2043,False,2043,0.12440527,89.76811739369961,2484.0
COL5A1,ENSGALG00010028434,4,False,4,0.00025041317,99.97996694546,5.0
MED27,ENSGALG00010028438,510,False,510,0.027845945,97.44578554615116,556.0
PSMB7,ENSGALG00010028440,1776,False,1776,0.109180145,91.105323784244,2180.0
OLFM1,ENSGALG00010028447,3,False,3,0.00015024791,99.98497520909501,3.0
PTGDS,ENSGALG00010028450,8,False,8,0.00040066108,99.95993389092001,8.0
C8G,ENSGALG00010028454,53,False,53,0.003155206,99.73456202734512,63.0
FBXW5,ENSGALG00010028456,665,False,665,0.038313217,96.6695046827265,765.0
TRAF2,ENSGALG00010028458,1093,False,1093,0.061501477,94.52596784694747,1228.0
EDF1,ENSGALG00010028462,6777,False,6777,0.6395553,66.05899734562027,12770.0
PHPT1,ENSGALG00010028468,810,False,810,0.047929082,95.94330645565182,957.0
C9ORF172,ENSGALG00010028470,3,False,3,0.00015024791,99.98497520909501,3.0
NRARP,ENSGALG00010028477,771,False,771,0.04407272,96.13862873741674,880.0
EXD3,ENSGALG00010028483,231,False,231,0.012170081,98.84309110031552,243.0
NOXA1,ENSGALG00010028484,164,False,164,0.008914709,99.17864476386036,178.0
ENTPD8_1,ENSGALG00010028487,29,False,29,0.0015525618,99.85476035458507,31.0
PTGES,ENSGALG00010028488,16,False,16,0.0009014875,99.91986778184003,18.0
ENSGALG00010028489,ENSGALG00010028489,758,False,758,0.045925777,96.20373616467171,917.0
TOR1B,ENSGALG00010028491,631,False,631,0.035208095,96.83978564631643,703.0
TOR1A,ENSGALG00010028493,701,False,701,0.040516853,96.48920719186658,809.0
ENTPD8_2,ENSGALG00010028496,588,False,588,0.033154704,97.05514098262132,662.0
C9ORF78,ENSGALG00010028498,2215,False,2215,0.13998097,88.90669604848,2795.0
USP20,ENSGALG00010028501,984,False,984,0.055191066,95.07186858316223,1102.0
NDOR1,ENSGALG00010028503,225,False,225,0.011619172,98.87314068212551,232.0
FNBP1,ENSGALG00010028514,4349,False,4349,0.38428408,78.2190614513948,7673.0
RNF208,ENSGALG00010028517,289,False,289,0.01712826,98.55261180948564,342.0
ENSGALG00010028536,ENSGALG00010028536,846,False,846,0.046376523,95.76300896479191,926.0
ZNF618,ENSGALG00010028547,315,False,315,0.017228426,98.42239695497571,344.0
NCS1,ENSGALG00010028551,17,False,17,0.0009515701,99.91485951820503,19.0
SPTAN1,ENSGALG00010028556,2803,False,2803,0.2041869,85.96183703110131,4077.0
WDR34,ENSGALG00010028559,124,False,124,0.006711073,99.37897530926027,134.0
SET,ENSGALG00010028561,4971,False,4971,0.40481794,75.1039214704262,8083.0
PKN3,ENSGALG00010028565,89,False,89,0.004958181,99.5542645364852,99.0
ZDHHC12,ENSGALG00010028566,265,False,265,0.013822808,98.6728101367256,276.0
ZER1,ENSGALG00010028569,1385,False,1385,0.07737767,93.06355486552812,1545.0
TBC1D13,ENSGALG00010028572,1439,False,1439,0.08128412,92.79310862923825,1623.0
ENDOG,ENSGALG00010028574,231,False,231,0.01176942,98.84309110031552,235.0
C9ORF114,ENSGALG00010028578,353,False,353,0.01918165,98.2320829368458,383.0
CCBL1,ENSGALG00010028582,52,False,52,0.0027044623,99.73957029098011,54.0
LRRC8A,ENSGALG00010028584,202,False,202,0.011268593,98.98833074573045,225.0
PHYHD1,ENSGALG00010028589,73,False,73,0.0041067763,99.63439675464517,82.0
DOLK,ENSGALG00010028593,242,False,242,0.0136725595,98.78800020033054,273.0
NUP188,ENSGALG00010028597,682,False,682,0.038663797,96.58436420093153,772.0
SH3GLB2,ENSGALG00010028603,119,False,119,0.0066609904,99.40401662743527,133.0
FAM73B,ENSGALG00010028608,60,False,60,0.0030049582,99.69950418190014,60.0
DOLPP1,ENSGALG00010028618,600,False,600,0.033905946,96.99504181900134,677.0
CRAT,ENSGALG00010028626,722,False,722,0.042520158,96.38403365553162,849.0
PPP2R4,ENSGALG00010028658,446,False,446,0.024440326,97.766314418791,488.0
ENSGALG00010028669,ENSGALG00010028669,2108,False,2108,0.14253518,89.44258025742475,2846.0
