lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
GPKOW,0.182422712,0.812680099,1,0.117906336,0.11649535,GPKOW
ENSVKKG00000017999,0.703264296,0.812916001,1,0.008815427,0.004405286,no
RAB3C,21.78712082,0.812927235,1,0.004407713,0,RAB3C
ENSVKKG00000013339,21.33466911,0.812927235,1,0.004407713,0,no
TSPAN3,0.005800224,0.813253033,1,0.541597796,0.560450318,TSPAN3
HMBOX1,0.427522004,0.813758647,1,0.037465565,0.033284386,HMBOX1
PNKD_1,0.691846311,0.813814831,1,0.025344353,0.021047479,no
POLD3,0.20191659,0.814005864,1,0.083746556,0.080274107,POLD3
ORC3,0.385855705,0.814129479,1,0.090358127,0.088595203,ORC3
IFIH1,0.307102412,0.814601508,1,0.217630854,0.226138032,IFIH1
PRSS56,1.817985654,0.814938713,1,0.008264463,0.00391581,PRSS56
ICE1,0.214574009,0.815141053,1,0.282093664,0.29711209,ICE1
ERCC4,0.206857696,0.815242227,1,0.076033058,0.072442487,ERCC4
ENSVKKG00000004495,0.954503477,0.815635712,1,0.008264463,0.00391581,no
MRPS18B,0.082149662,0.815961777,1,0.309090909,0.319627998,MRPS18B
TMEM53,0.056092832,0.816445313,1,0.10523416,0.102790015,TMEM53
SMURF2,0.367594808,0.81691767,1,0.033057851,0.028879099,SMURF2
RPUSD2,0.367257059,0.816940165,1,0.04738292,0.043563387,RPUSD2
LIPE,0.326526493,0.816973908,1,0.119559229,0.118453255,LIPE
GTPBP1,0.486658454,0.817142626,1,0.035812672,0.031815957,GTPBP1
LRP8,0.465508014,0.817412593,1,0.016528926,0.012236907,LRP8
GSG2,0.247263163,0.817581333,1,0.020936639,0.016642193,no
EFCAB3,1.577631354,0.817772582,1,0.007713499,0.003426334,no
STX16,0.347839981,0.817795082,1,0.062258953,0.058737151,STX16
TERF2,0.290908635,0.817896337,1,0.020936639,0.016642193,TERF2
EVI5,0.173102573,0.818087604,1,0.287052342,0.298580519,EVI5
FGD5,0.247659758,0.818110106,1,0.066666667,0.062652961,FGD5
KIAA1551,0.162308842,0.818301385,1,0.370798898,0.384728341,no
ANAPC4,0.416296363,0.81832389,1,0.083195592,0.081253059,ANAPC4
ENSVKKG00000006159,0.838846207,0.818582698,1,0.015977961,0.01174743,no
GADD45B,0.676568151,0.818650216,1,0.031955923,0.027900147,GADD45B
GLCE,0.839361131,0.818717736,1,0.015977961,0.01174743,GLCE
TMEM234,0.668617606,0.819302963,1,0.028099174,0.023984337,TMEM234
C2CD4A,1.13337326,0.819843263,1,0.011570248,0.007342144,no
SOX7,0.799413979,0.820068413,1,0.011570248,0.007342144,SOX7
GBA_1,2.016759872,0.82020351,1,0.007162534,0.002936858,no
TWF1,0.455004722,0.820383648,1,0.015977961,0.01174743,TWF1
CARKD,0.221605837,0.820428684,1,0.268870523,0.281938326,no
B9D1,1.452395558,0.820541276,1,0.007162534,0.002936858,B9D1
ITM2C,0.088415928,0.820586314,1,0.083195592,0.079295154,ITM2C
ENSVKKG00000009523,0.334020853,0.820676392,1,0.039669421,0.035731767,no
ENSVKKG00000013435,0.408790201,0.820867815,1,0.019834711,0.01566324,no
MOB2,0.160922989,0.821183124,1,0.037465565,0.033284386,MOB2
ABCA3,0.085936546,0.821633614,1,0.061707989,0.057758199,no
CEBPD,1.449361563,0.822005314,1,0.014876033,0.010768478,CEBPD
