lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
PLK2,0.768256724,1.97743e-08,6.10589e-07,0.073384447,0.039312439,PLK2,3.688082695,7.08455e-61,2.41802e-58,0.355922865,0.059226628,PLK2
RBM43,0.762097239,2.6078500000000003e-70,5.41415e-68,0.313307777,0.2091964,RBM43,0.438441783,0.890283649,1.0,0.022589532,0.020068527,RBM43
RNF114,0.757373691,3.5511699999999996e-51,5.46281e-49,0.257009858,0.167769222,RNF114,0.072767898,0.85310147,1.0,0.262809917,0.274596182,RNF114
CPNE8,0.756966889,2.02954e-06,4.92178e-05,0.06966046,0.040939161,CPNE8,1.668271422,8.18223e-38,1.38376e-35,0.41322314,0.204111601,CPNE8
USP15,0.756722033,4.8273e-112,1.4007999999999999e-109,0.437020811,0.314716408,USP15,0.244168997,0.106400799,0.592616207,0.309090909,0.292706804,USP15
PARP12,0.756449819,7.95604e-68,1.5997299999999998e-65,0.301588171,0.198514261,PARP12,-0.165845439,0.010351711,0.085717826,0.242975207,0.301517376,PARP12
SPRED1,0.754180849,0.000303872,0.005193895,0.065936473,0.044626396,SPRED1,-0.099675082,0.419252263,1.0,0.04738292,0.063142438,SPRED1
PSME2,0.753304303,2.2877e-255,1.3586e-252,0.722289157,0.583342371,PSME2,-0.681315482,1.22575e-11,4.44204e-10,0.273829201,0.398923152,PSME2
VPS54,0.745819569,1.2287799999999999e-22,9.22888e-21,0.164512596,0.106441818,VPS54,0.08610189,0.979241791,1.0,0.090909091,0.093000489,VPS54
JUNB,0.744704068,1.3921e-135,4.5575e-133,0.501040526,0.373115714,JUNB,0.505969703,0.259073867,1.0,0.123415978,0.10474792,JUNB
ATXN3,0.744090855,7.520670000000001e-28,7.06058e-26,0.200054765,0.137891769,ATXN3,0.106630862,0.973133047,1.0,0.07768595,0.078316202,ATXN3
CMPK2,0.742408812,8.75082e-97,2.28021e-94,0.385980285,0.26244442,CMPK2,-0.891051292,0.530876436,1.0,0.008815427,0.020558003,CMPK2
SLC37A3,0.738168955,7.14232e-08,2.06553e-06,0.084446878,0.052000868,SLC37A3,0.587798059,8.98697e-14,3.88718e-12,0.612672176,0.545276554,SLC37A3
EMILIN2,0.736387312,2.62752e-14,1.24023e-12,0.158926616,0.117991541,EMILIN2,0.763029456,0.008631412,0.07331623,0.194490358,0.154674498,EMILIN2
TFEC,0.733353019,6.77988e-08,1.9674e-06,0.123220153,0.093861837,TFEC,1.101557136,8.64143e-08,1.99014e-06,0.214876033,0.119432208,TFEC
DUSP12,0.731584191,3.46438e-15,1.70128e-13,0.142935378,0.097006832,DUSP12,-0.817307055,0.574764804,1.0,0.011019284,0.021536955,DUSP12
NFKB2,0.73108834,5.28722e-36,6.30909e-34,0.225575027,0.152803384,NFKB2,0.102814466,0.851761612,1.0,0.067217631,0.071463534,NFKB2
OTUD4,0.726096988,2.43683e-25,2.07423e-23,0.172727273,0.110074829,OTUD4,0.121965632,0.848300409,1.0,0.060055096,0.06412139,OTUD4
SIRT1,0.720451951,1.3069e-26,1.1751100000000002e-24,0.181106243,0.117123956,SIRT1,-0.119362332,0.133402287,0.707808856,0.201652893,0.235927558,SIRT1
PIM3,0.717488527,2.18439e-31,2.2955000000000002e-29,0.207721796,0.139355818,PIM3,0.131723687,0.371274366,1.0,0.160330579,0.183553598,PIM3
GSAP_LOC107511514,0.71437943,8.19763e-13,3.55407e-11,0.129079956,0.08708383,GSAP,,,,,,
GGCT,0.703582883,3.62653e-29,3.58942e-27,0.209200438,0.144073311,GGCT,-1.21899581,0.009562024,0.079954706,0.03030303,0.078805678,GGCT
LMO2,0.70333606,3.44287e-13,1.52634e-11,0.143702081,0.102212341,LMO2,-0.579424918,2.13099e-05,0.000331425,0.092561983,0.17670093,LMO2
CHCHD7,0.700347543,1.52559e-07,4.2623e-06,0.094140197,0.063008351,CHCHD7,-0.29911989,0.000104692,0.001420503,0.315702479,0.395986295,CHCHD7
NFE2L3,0.697788358,1.11082e-13,5.0744e-12,0.143154436,0.1003145,NFE2L3,0.139795989,0.835570757,1.0,0.032506887,0.03671072,NFE2L3
BID,0.697278142,4.49053e-38,5.62108e-36,0.251040526,0.178668257,BID,1.14113903,0.004337669,0.040571366,0.121763085,0.07195301,BID
PCGF5,0.684821725,4.12049e-23,3.2172999999999997e-21,0.17245345,0.11289448,PCGF5,0.169025674,0.902128009,1.0,0.025895317,0.028389623,PCGF5
SLC7A11,0.678115547,5.11517e-08,1.50832e-06,0.107447974,0.075751003,SLC7A11,-0.622077584,2.69159e-23,2.27597e-21,0.712947658,0.820362212,SLC7A11
NABP1,0.675427377,2.0169800000000002e-32,2.18244e-30,0.218400876,0.147760547,NABP1,0.220716909,0.366252672,1.0,0.290358127,0.283406755,NABP1
HEG1,0.671990514,5.38675e-06,0.000122164,0.07135816,0.043704587,HEG1,21.72583199,0.835955205,1.0,0.003856749,0.0,HEG1
BCL3,0.671967566,2.21302e-27,2.0401299999999999e-25,0.203176342,0.139355818,BCL3,2.07574296,0.087592402,0.510346053,0.046280992,0.014684288,BCL3
NYAP2,0.671241224,0.003172737,0.042462792,0.056133625,0.038607526,NYAP2,0.0,1.0,1.0,0.0,0.0,NYAP2
TOR1B,0.66801399,6.96479e-11,2.59261e-09,0.111555312,0.07222644,TOR1B,3.219720125,0.950158614,1.0,0.001652893,0.000489476,TOR1B
FAM111A,0.666683674,0.001258322,0.018823056,0.059036145,0.039746231,FAM111A,-0.892050087,0.483254121,1.0,0.013774105,0.026921194,FAM111A
HIGD1A,0.666677535,2.19559e-89,5.44337e-87,0.426779847,0.319976141,HIGD1A,0.36464861,1.6684299999999999e-21,1.27836e-19,0.855647383,0.846304454,HIGD1A
GADD45B,0.665868044,6.6426399999999996e-21,4.50226e-19,0.18422782,0.129378592,GADD45B,0.676568151,0.818650216,1.0,0.031955923,0.027900147,GADD45B
AZI2,0.664826214,3.5867e-34,4.0888400000000004e-32,0.229134721,0.156599067,AZI2,0.45368588,0.150054268,0.774958091,0.185123967,0.165932452,AZI2
PSMB9,0.663410544,4.4317e-238,2.572e-235,0.770043812,0.658280013,PSMB9,-0.390970647,0.000941759,0.010592395,0.188980716,0.254527655,PSMB9
TRIM56,0.662778795,4.42878e-42,5.82955e-40,0.26128149,0.180837219,TRIM56,-0.08097598,0.746613497,1.0,0.022589532,0.028879099,TRIM56
PNPT1,0.662495613,4.95245e-05,0.000981876,0.069167579,0.04468062,PNPT1,0.636525512,0.151974352,0.782893121,0.109641873,0.085658346,PNPT1
IFI27_LOC107511262,0.660703242,9.02376e-85,2.1336200000000002e-82,0.492059146,0.39887214,IFI27,,,,,,
QSOX1,0.65680337,1.86546e-05,0.00039565,0.070646221,0.044789068,QSOX1,0.429476172,0.693100702,1.0,0.085399449,0.080274107,QSOX1
SLC43A2,0.653438449,0.001960005,0.027898931,0.056352683,0.03784839,SLC43A2,-0.35625428,6.7415e-06,0.000113703,0.429752066,0.518844836,SLC43A2
GLIPR1,0.652547538,5.91513e-42,7.746090000000001e-40,0.266374589,0.185608936,GLIPR1,-0.363703907,0.712694102,1.0,0.017630854,0.024473813,GLIPR1
UBE2J1,0.652444422,7.22372e-17,3.89166e-15,0.160733844,0.111809999,UBE2J1,0.859502554,7.7633e-10,2.328e-08,0.300826446,0.197258933,UBE2J1
HIPK2,0.652378201,0.003292708,0.043930303,0.050273823,0.032588656,HIPK2,1.25910306,0.824529414,1.0,0.01046832,0.006363191,HIPK2
SOCS3,0.649422467,2.89157e-10,1.03561e-08,0.113636364,0.075805227,SOCS3,3.56925106,3.79104e-16,1.98786e-14,0.173553719,0.02349486,SOCS3
ELMO2,0.642630816,5.11635e-05,0.00100811,0.074589266,0.050374146,ELMO2,0.40607053,0.418327432,1.0,0.142699725,0.13215859,ELMO2
CLIC4,0.632101238,4.68404e-23,3.6246e-21,0.191511501,0.132577812,CLIC4,0.517611504,0.695078906,1.0,0.053443526,0.046500245,CLIC4
USP37,0.632015049,4.25837e-17,2.31366e-15,0.163800657,0.114087409,USP37,0.183493018,0.989695105,1.0,0.119559229,0.121390113,USP37
